name,var_name,var_value,region,type,carrier,tech
coal,flow_out_bus0,0.0,,dispatchable,coal,st
coal,summed_variable_costs_out_bus0,0.0,,dispatchable,coal,st
gas,flow_out_bus1,0.0,,dispatchable,gas,gt
gas,summed_variable_costs_out_bus1,0.0,,dispatchable,gas,gt
lignite,flow_out_bus0,5981.5789472999995,,dispatchable,lignite,st
lignite,summed_variable_costs_out_bus0,119631.578946,,dispatchable,lignite,st
el-storage1,flow_in_bus0,0.0,,storage,lithium,battery
el-storage2,flow_in_bus0,0.0,,storage,lithium,battery
el-storage1,flow_out_bus0,0.0,,storage,lithium,battery
el-storage2,flow_out_bus0,0.0,,storage,lithium,battery
el-storage1,storage_losses,0.0,,storage,lithium,battery
el-storage2,storage_losses,0.0,,storage,lithium,battery
pv,flow_out_bus1,19.99999999999729,,volatile,solar,pv
wind,flow_out_bus0,49.99999999999234,,volatile,wind,onshore
demand0,flow_in_bus0,4999.999999998511,,load,,
conn1,flow_in_bus0_from_bus,1031.57894775,,link,,
demand1,flow_in_bus1,999.9999999997023,,load,,
conn1,flow_in_bus1_to_bus,0.0,,link,,
conn2,flow_in_bus_from_bus,0.0,,link,,
conn2,flow_in_bus_to_bus,0.0,,link,,
conn1,flow_out_bus0_from_bus,0.0,,link,,
conn1,flow_out_bus1_to_bus,979.999998642,,link,,
conn2,flow_out_bus_from_bus,0.0,,link,,
conn2,flow_out_bus_to_bus,0.0,,link,,
system,total_system_cost,119631.578946,,,,
conn1,transmission_losses,51.57894910799996,,link,,
conn2,transmission_losses,0.0,,link,,
